id,tipo,cantidad,idTourista,zona,timestamp
33,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.610822400
34,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.612820600
35,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.613823500
36,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.615819900
37,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.617824600
38,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.618822900
39,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.620822100
40,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.622821100
41,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.623829400
42,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.625829600
43,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.631232200
44,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.632471500
45,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.633471700
46,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.635473600
47,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.636467600
48,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.637951600
49,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.640275300
50,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.641646300
51,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.642898800
52,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.644901100
53,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.645904800
54,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.648045800
55,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.649467200
56,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.650466300
57,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.652472100
58,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.653460900
59,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.657770300
60,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.659033700
61,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.660319600
62,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:12.661321400
63,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.663486
64,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.664775500
65,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.665782200
66,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:12.666776600
67,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.668784800
68,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:12.669782700
69,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.671775300
70,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.672780100
71,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.674784400
72,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.675785400
73,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.676786600
74,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.682782200
75,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.684773400
76,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.685771800
77,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.687777200
78,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.688845200
79,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.689840800
80,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.690852100
81,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.692866
82,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.694278500
83,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.695286700
84,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.700445500
85,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.701600600
86,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.703036200
87,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.704041200
88,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.705386
89,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.706402900
90,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.708663300
91,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.710662600
92,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.712664100
93,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.715107300
94,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.717426900
95,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.718424400
96,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.720422200
97,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.721424300
98,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.723428
99,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.725565900
100,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.726573800
101,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.727595200
102,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.734080800
103,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.735057900
104,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:12.736575800
105,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.738481100
106,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:12.740465200
107,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.743402200
108,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:12.745363500
109,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.747760600
110,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.748730300
111,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.750767400
112,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.752810900
113,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.754333900
114,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.755348500
115,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.757676900
116,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.759676900
117,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.760673700
118,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.761676200
119,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.765664100
120,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.767667
121,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.768689800
122,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.769671800
123,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.771462300
124,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.772855900
125,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.773855600
126,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.774857300
127,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.776855800
128,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.777854800
129,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.779222600
130,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.780527600
131,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.782531700
132,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.783535100
133,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.785689900
134,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.787696600
135,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.788692500
136,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.790720500
137,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.795724400
138,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.797716200
139,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.798717700
140,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.799713400
141,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.801712600
142,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.802711300
143,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.803911400
144,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.805424
145,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.807461900
146,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.808664500
147,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.809860400
148,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.811862200
149,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.813265900
150,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.815261200
151,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.817440
152,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.818680400
153,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.820010400
154,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.822462200
155,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.823462
156,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.827056500
157,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.828056100
158,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.831823800
159,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.833966600
160,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.836187400
161,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.838769800
162,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.894448700
163,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.897218600
164,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.898325200
165,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:12.899332400
166,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:12.900645500
167,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.902643800
168,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.903824300
169,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.905338
170,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.906353100
171,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.907717
172,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.908706200
173,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.910761700
174,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.913180100
175,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.914395500
176,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.915743100
177,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.917733600
178,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.918735200
179,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.919736700
180,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.921253500
181,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.922270900
182,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.923276
183,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.924277600
184,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.925270600
185,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.928683100
186,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.930682800
187,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.936513500
188,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.937514900
189,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.938515500
190,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.939515700
191,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.940582100
192,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.942580800
193,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.943580400
194,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.944938800
195,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.946302
196,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.948287300
197,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.949615800
198,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.950619600
199,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.952137600
200,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.953161600
201,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.955156500
202,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.956160700
203,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.957158400
204,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.958165300
205,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.959157100
206,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.962159600
207,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.963283
208,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.965287500
209,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.966693900
210,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.967690200
211,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.970891700
212,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.971890900
213,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.972896100
214,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.974359900
215,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.977234
216,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.978489
217,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.979378100
218,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.980439
219,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.981227100
220,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.982675400
221,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.983954800
222,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.985880900
223,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.986683
224,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.987991
225,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.988577300
226,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.990292100
227,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.991253700
228,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.992317400
229,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.993819900
230,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.997788600
231,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.999074
232,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.000928100
233,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.003518600
234,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.005589500
235,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.006255400
236,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.007463500
237,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.008591100
238,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:13.012321800
239,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:13.013420
240,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:13.015184400
241,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.015759300
242,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.016985500
243,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:13.018134800
244,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.018812800
245,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.019842900
246,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.020978100
247,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.021681700
248,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.022804500
249,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.023388600
250,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.023952
251,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.025117300
252,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.026266700
253,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.026826600
254,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.027841700
255,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.028354300
256,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.029386400
257,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.030636600
258,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.032097500
259,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.033268800
260,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.034590500
261,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.036340600
262,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.036960
263,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.038167400
264,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:13.041687700
265,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.043466300
266,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.044042500
267,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.045195300
268,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.045771100
269,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.046967500
270,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.046967500
271,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.048435
272,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.049919
273,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.050554200
274,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.051704100
275,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.052311800
276,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.053462200
277,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.054076
278,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.055147800
279,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.055815900
280,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.056444400
281,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.057178700
282,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.058646400
283,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.059211700
284,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.059930400
285,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.061592400
286,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.061592400
287,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.063532800
288,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.063532800
289,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.064946700
290,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.066097700
291,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.067103800
292,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.068104500
293,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.069102100
294,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.070190600
295,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.071201300
296,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.072190900
297,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.072190900
298,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.073531900
299,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.074531
300,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.075530600
301,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:13.078531600
302,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.079529600
303,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.081529900
304,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.082536600
305,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.083522100
306,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.083522100
307,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.084524400
308,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.085525200
309,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.086525
310,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.087526100
311,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.087526100
312,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.088917200
313,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.089919100
314,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.089919100
315,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.091990400
316,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.091990400
317,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.093298800
318,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.094473400
319,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.094473400
320,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.095919900
321,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.097149100
322,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.097662400
323,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.098684800
324,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.098684800
325,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.099921
326,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.101016
327,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.102370
328,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:13.105866
329,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:13.106384600
330,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.107396600
331,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.108412300
332,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.109425600
333,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.110419400
334,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.111424800
335,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.112197800
336,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.114224400
337,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.115296300
338,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.116289300
339,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.117553600
340,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.118599900
341,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.119593600
342,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.120762400
343,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.121759600
344,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.121759600
345,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.123101300
346,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.124311700
347,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.125443200
348,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.126561500
349,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.128312500
350,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.130315800
351,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.131318900
352,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.133454500
353,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.133454500
354,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.135596700
355,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.135596700
356,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:13.137070500
